miRNA	totalExpected	expectedUp	expectedDn	totalObserved	observedUp	observedDn	UpReg expected ratio	DnReg expected ratio	UpReg observed ratio	DnReg observed ratio	UpReg confidence interval 95% low	UpReg confidence interval 95% high	Upreg pvalue	DnReg confidence interval 95% low	DnReg confidence interval 95% high	Dnreg pvalue	Permutation test Up pValue	Permutation test Dn pValue
miR-707	37159.000000	100.000000	81.000000	323.000000	3.000000	0.000000	0.002691	0.002180	0.009288	0.000000	-2.000000	5.000000	1.000000e+00	-4.000000	-1.000000	4.941822e-01	1.290000e-02	5.069000e-01
miR-706	37159.000000	100.000000	81.000000	1716.000000	14.000000	9.000000	0.002691	0.002180	0.008159	0.005245	0.000000	17.000000	1.000000e+00	-3.000000	11.000000	1.000000e+00	2.000000e-04	4.700000e-03
miR-705	37159.000000	100.000000	81.000000	661.000000	3.000000	1.000000	0.002691	0.002180	0.004539	0.001513	-4.000000	5.000000	1.000000e+00	-5.000000	2.000000	1.000000e+00	1.025000e-01	4.249000e-01
miR-704	37159.000000	100.000000	81.000000	321.000000	1.000000	1.000000	0.002691	0.002180	0.003115	0.003115	-4.000000	2.000000	1.000000e+00	-3.000000	2.000000	1.000000e+00	2.115000e-01	1.516000e-01
miR-703	37159.000000	100.000000	81.000000	1338.000000	9.000000	8.000000	0.002691	0.002180	0.006726	0.005979	-2.000000	12.000000	1.000000e+00	-2.000000	11.000000	1.000000e+00	2.800000e-03	2.300000e-03
miR-702	37159.000000	100.000000	81.000000	539.000000	2.000000	2.000000	0.002691	0.002180	0.003711	0.003711	-4.000000	3.000000	1.000000e+00	-4.000000	3.000000	1.000000e+00	1.848000e-01	1.153000e-01
miR-698	37159.000000	100.000000	81.000000	158.000000	1.000000	0.000000	0.002691	0.002180	0.006329	0.000000	-3.000000	2.000000	1.000000e+00	-3.000000	-1.000000	7.083707e-01	6.730000e-02	2.852000e-01
miR-697	37159.000000	100.000000	81.000000	399.000000	2.000000	0.000000	0.002691	0.002180	0.005013	0.000000	-3.000000	3.000000	1.000000e+00	-4.000000	-1.000000	4.186591e-01	9.310000e-02	5.778000e-01
miR-696	37159.000000	100.000000	81.000000	57.000000	1.000000	0.000000	0.002691	0.002180	0.017544	0.000000	-2.000000	2.000000	1.000000e+00	-2.000000	-1.000000	8.830394e-01	1.080000e-02	1.154000e-01
miR-695	37159.000000	100.000000	81.000000	136.000000	0.000000	0.000000	0.002691	0.002180	0.000000	0.000000	-3.000000	-1.000000	6.931644e-01	-3.000000	-1.000000	7.432080e-01	3.096000e-01	2.532000e-01
miR-694	37159.000000	100.000000	81.000000	2217.000000	13.000000	9.000000	0.002691	0.002180	0.005864	0.004060	-2.000000	15.000000	1.000000e+00	-4.000000	11.000000	1.000000e+00	2.600000e-03	2.210000e-02
miR-693-5p	37159.000000	100.000000	81.000000	721.000000	3.000000	2.000000	0.002691	0.002180	0.004161	0.002774	-4.000000	5.000000	1.000000e+00	-4.000000	3.000000	1.000000e+00	1.316000e-01	2.116000e-01
miR-693-3p	37159.000000	100.000000	81.000000	776.000000	7.000000	4.000000	0.002691	0.002180	0.009021	0.005155	-2.000000	10.000000	1.000000e+00	-3.000000	6.000000	1.000000e+00	1.500000e-03	2.910000e-02
miR-692	37159.000000	100.000000	81.000000	1448.000000	5.000000	6.000000	0.002691	0.002180	0.003453	0.004144	-6.000000	6.000000	1.000000e+00	-4.000000	8.000000	1.000000e+00	2.000000e-01	3.800000e-02
miR-691	37159.000000	100.000000	81.000000	1304.000000	10.000000	1.000000	0.002691	0.002180	0.007669	0.000767	-1.000000	13.000000	1.000000e+00	-7.000000	1.000000	1.000000e+00	1.000000e-03	7.896000e-01
miR-690	37159.000000	100.000000	81.000000	1122.000000	7.000000	3.000000	0.002691	0.002180	0.006239	0.002674	-3.000000	9.000000	1.000000e+00	-5.000000	4.000000	1.000000e+00	1.250000e-02	2.240000e-01
miR-687	37159.000000	100.000000	81.000000	238.000000	1.000000	2.000000	0.002691	0.002180	0.004202	0.008403	-3.000000	2.000000	1.000000e+00	-2.000000	4.000000	1.000000e+00	1.332000e-01	1.360000e-02
miR-686	37159.000000	100.000000	81.000000	1084.000000	8.000000	5.000000	0.002691	0.002180	0.007380	0.004613	-2.000000	11.000000	1.000000e+00	-3.000000	7.000000	1.000000e+00	3.300000e-03	3.080000e-02
miR-684	37159.000000	100.000000	81.000000	1227.000000	11.000000	3.000000	0.002691	0.002180	0.008965	0.002445	0.000000	14.000000	1.000000e+00	-5.000000	4.000000	1.000000e+00	2.000000e-04	2.851000e-01
miR-683	37159.000000	100.000000	81.000000	1027.000000	6.000000	5.000000	0.002691	0.002180	0.005842	0.004869	-3.000000	8.000000	1.000000e+00	-3.000000	7.000000	1.000000e+00	2.110000e-02	2.770000e-02
miR-682	37159.000000	100.000000	81.000000	763.000000	3.000000	4.000000	0.002691	0.002180	0.003932	0.005242	-4.000000	4.000000	1.000000e+00	-3.000000	6.000000	1.000000e+00	1.504000e-01	2.810000e-02
miR-681	37159.000000	100.000000	81.000000	420.000000	2.000000	3.000000	0.002691	0.002180	0.004762	0.007143	-3.000000	3.000000	1.000000e+00	-2.000000	5.000000	1.000000e+00	9.950000e-02	1.360000e-02
miR-678	37159.000000	100.000000	81.000000	46.000000	0.000000	0.000000	0.002691	0.002180	0.000000	0.000000	-2.000000	-1.000000	8.834159e-01	-2.000000	-1.000000	9.044925e-01	1.140000e-01	9.680000e-02
miR-677	37159.000000	100.000000	81.000000	399.000000	8.000000	4.000000	0.002691	0.002180	0.020050	0.010025	0.000000	12.000000	1.000000e+00	-2.000000	7.000000	1.000000e+00	0.000000e+00	1.900000e-03
miR-675-3p	37159.000000	100.000000	81.000000	226.000000	2.000000	0.000000	0.002691	0.002180	0.008850	0.000000	-2.000000	4.000000	1.000000e+00	-3.000000	-1.000000	6.106829e-01	2.600000e-02	3.874000e-01
miR-674	37159.000000	100.000000	81.000000	994.000000	6.000000	2.000000	0.002691	0.002180	0.006036	0.002012	-3.000000	8.000000	1.000000e+00	-5.000000	3.000000	1.000000e+00	1.570000e-02	3.749000e-01
miR-673-5p	37159.000000	100.000000	81.000000	1330.000000	8.000000	5.000000	0.002691	0.002180	0.006015	0.003759	-3.000000	10.000000	1.000000e+00	-4.000000	7.000000	1.000000e+00	9.900000e-03	6.900000e-02
miR-672	37159.000000	100.000000	81.000000	476.000000	2.000000	1.000000	0.002691	0.002180	0.004202	0.002101	-4.000000	3.000000	1.000000e+00	-4.000000	2.000000	1.000000e+00	1.363000e-01	2.785000e-01
miR-671-5p	37159.000000	100.000000	81.000000	1002.000000	5.000000	4.000000	0.002691	0.002180	0.004990	0.003992	-4.000000	7.000000	1.000000e+00	-4.000000	6.000000	1.000000e+00	5.190000e-02	6.890000e-02
miR-670	37159.000000	100.000000	81.000000	942.000000	5.000000	4.000000	0.002691	0.002180	0.005308	0.004246	-4.000000	7.000000	1.000000e+00	-4.000000	6.000000	1.000000e+00	4.500000e-02	5.570000e-02
miR-669n	37159.000000	100.000000	81.000000	658.000000	4.000000	2.000000	0.002691	0.002180	0.006079	0.003040	-3.000000	6.000000	1.000000e+00	-4.000000	3.000000	1.000000e+00	3.040000e-02	1.724000e-01
miR-669k	37159.000000	100.000000	81.000000	598.000000	8.000000	6.000000	0.002691	0.002180	0.013378	0.010033	0.000000	12.000000	1.000000e+00	-1.000000	9.000000	1.000000e+00	0.000000e+00	4.000000e-04
miR-669j	37159.000000	100.000000	81.000000	729.000000	5.000000	5.000000	0.002691	0.002180	0.006859	0.006859	-3.000000	7.000000	1.000000e+00	-2.000000	8.000000	1.000000e+00	1.310000e-02	4.900000e-03
miR-669i	37159.000000	100.000000	81.000000	727.000000	5.000000	5.000000	0.002691	0.002180	0.006878	0.006878	-3.000000	7.000000	1.000000e+00	-2.000000	8.000000	1.000000e+00	1.510000e-02	5.000000e-03
miR-669h-5p	37159.000000	100.000000	81.000000	250.000000	0.000000	1.000000	0.002691	0.002180	0.000000	0.004000	-4.000000	-1.000000	5.098231e-01	-3.000000	2.000000	1.000000e+00	4.964000e-01	1.034000e-01
miR-669h-3p	37159.000000	100.000000	81.000000	687.000000	7.000000	6.000000	0.002691	0.002180	0.010189	0.008734	-1.000000	10.000000	1.000000e+00	-2.000000	9.000000	1.000000e+00	6.000000e-04	5.000000e-04
miR-669g	37159.000000	100.000000	81.000000	317.000000	1.000000	1.000000	0.002691	0.002180	0.003155	0.003155	-3.000000	2.000000	1.000000e+00	-3.000000	2.000000	1.000000e+00	2.107000e-01	1.537000e-01
miR-669e	37159.000000	100.000000	81.000000	458.000000	3.000000	0.000000	0.002691	0.002180	0.006550	0.000000	-3.000000	5.000000	1.000000e+00	-4.000000	-1.000000	3.680825e-01	3.450000e-02	6.259000e-01
miR-669d	37159.000000	100.000000	81.000000	467.000000	0.000000	3.000000	0.002691	0.002180	0.000000	0.006424	-5.000000	-1.000000	2.840924e-01	-3.000000	5.000000	1.000000e+00	7.098000e-01	1.850000e-02
miR-669c	37159.000000	100.000000	81.000000	227.000000	3.000000	2.000000	0.002691	0.002180	0.013216	0.008811	-2.000000	5.000000	1.000000e+00	-2.000000	4.000000	1.000000e+00	3.200000e-03	1.250000e-02
miR-669b	37159.000000	100.000000	81.000000	1111.000000	10.000000	9.000000	0.002691	0.002180	0.009001	0.008101	-1.000000	13.000000	1.000000e+00	-1.000000	12.000000	1.000000e+00	2.000000e-04	0.000000e+00
miR-668	37159.000000	100.000000	81.000000	568.000000	3.000000	2.000000	0.002691	0.002180	0.005282	0.003521	-4.000000	5.000000	1.000000e+00	-4.000000	3.000000	1.000000e+00	6.530000e-02	1.215000e-01
miR-667	37159.000000	100.000000	81.000000	446.000000	2.000000	2.000000	0.002691	0.002180	0.004484	0.004484	-4.000000	3.000000	1.000000e+00	-3.000000	4.000000	1.000000e+00	1.225000e-01	7.010000e-02
miR-666-3p	37159.000000	100.000000	81.000000	895.000000	7.000000	2.000000	0.002691	0.002180	0.007821	0.002235	-2.000000	10.000000	1.000000e+00	-5.000000	3.000000	1.000000e+00	3.500000e-03	3.099000e-01
miR-665	37159.000000	100.000000	81.000000	841.000000	6.000000	5.000000	0.002691	0.002180	0.007134	0.005945	-3.000000	9.000000	1.000000e+00	-3.000000	7.000000	1.000000e+00	8.200000e-03	1.000000e-02
miR-654-5p	37159.000000	100.000000	81.000000	185.000000	3.000000	0.000000	0.002691	0.002180	0.016216	0.000000	-2.000000	5.000000	1.000000e+00	-3.000000	-1.000000	6.678396e-01	2.400000e-03	3.352000e-01
miR-654-3p	37159.000000	100.000000	81.000000	402.000000	5.000000	1.000000	0.002691	0.002180	0.012438	0.002488	-2.000000	8.000000	1.000000e+00	-4.000000	2.000000	1.000000e+00	6.000000e-04	2.200000e-01
miR-653	37159.000000	100.000000	81.000000	1169.000000	7.000000	4.000000	0.002691	0.002180	0.005988	0.003422	-3.000000	9.000000	1.000000e+00	-4.000000	6.000000	1.000000e+00	1.380000e-02	1.101000e-01
miR-652	37159.000000	100.000000	81.000000	61.000000	0.000000	0.000000	0.002691	0.002180	0.000000	0.000000	-2.000000	-1.000000	8.484190e-01	-2.000000	-1.000000	8.753651e-01	1.587000e-01	1.257000e-01
miR-615-5p	37159.000000	100.000000	81.000000	129.000000	1.000000	0.000000	0.002691	0.002180	0.007752	0.000000	-2.000000	2.000000	1.000000e+00	-3.000000	-1.000000	7.546479e-01	4.230000e-02	2.403000e-01
miR-615-3p	37159.000000	100.000000	81.000000	122.000000	0.000000	0.000000	0.002691	0.002180	0.000000	0.000000	-3.000000	-1.000000	7.198147e-01	-3.000000	-1.000000	7.662640e-01	2.864000e-01	2.392000e-01
